country,Calories 2000,Population 2000,Requierments 2000,Sufficiency 2000,Calories 2050,ΔCalories,Population 2050,Requierments 2050,Sufficiency 2050,ΔPopulation,ΔRequierments,ΔSufficiency
Bulgaria,4.714159714840084e+16,7802636.94229126,6711545452169784.0,702.3955582862122,3.863053187296624e+16,-8507314499370720.0,6250241.1414436735,5376230858628471.0,718.5430255653357,-1552395.8008475862,-1335314593541313.0,2.298913637569403
Burkina Faso,5.956497762386951e+16,11683553.548919678,1.0049769233964558e+16,592.6999539707001,5.924364745710581e+16,-321330166763712.25,38590523.96794659,3.3194169810733816e+16,178.47606310054036,26906970.41902691,2.3144400576769256e+16,-69.88761988171788
Burundi,3583290835196196.0,6670096.04296875,5737374825180161.0,62.455233349403414,3537659284872429.5,-45631550323767.59,16718088.754021281,1.4380293915491772e+16,24.600743946278723,10047992.711052531,8642919090311611.0,-60.61059637924847
Cambodia,3.550593840578428e+16,12144963.580963135,1.0446657417414678e+16,339.87846051690696,3.801967403711941e+16,2513735631335116.0,17315895.964702852,1.4894506007608672e+16,255.25971803091375,5170932.383739717,4447848590193994.0,-24.89676526052875
Cameroon,1.7201833569552964e+16,15287701.272506714,1.3149926455439146e+16,130.81315418640875,2.8053549394613428e+16,1.085307769713019e+16,31600220.795683805,2.7181364420443364e+16,103.20876082848176,16312519.523177091,1.4031437965004218e+16,-21.102154083518794
Canada,4.344452705058079e+17,24859696.307693984,2.1383409599887212e+16,2031.6931613567342,4.550362598648786e+17,2.081409513086957e+16,38531659.36791993,3.3143536615632636e+16,1372.9260855350424,13671963.060225945,1.1760127015745424e+16,-32.424535769061556
Central African Republic,2681258762667454.0,3609335.7326407433,3104619758797259.0,86.36351537317354,6368904881896255.0,3694439843798645.5,5646408.550036647,4856835952431585.0,131.13279806594352,2037072.817395904,1752216193634326.0,51.8381894244619
Chad,4.772499696783466e+16,7953446.101333618,6841266023946005.0,697.6047532837663,6.8154852925321464e+16,2.0469629571936484e+16,23280736.150514483,2.0025245309987104e+16,340.3446593052765,15327290.049180865,1.31839792860411e+16,-51.21239388017276
Chile,5.219554556425309e+16,12054117.97334069,1.0368515318891128e+16,503.4042383016434,2.7461992234928996e+16,-2.4710862979116e+16,13991616.867603606,1.203508163340117e+16,228.1828497009381,1937498.8942629155,1666566314510042.0,-54.672044385091304
China,2.8816992493346755e+18,1219139453.3035498,1.0486595639265312e+18,274.79835672738557,2.4276088164484424e+18,-4.5011078028575334e+17,1206816090.9100468,1.0380594543175268e+18,233.8602867447969,-12323362.39350295,-1.0600109609004416e+16,-14.8974944647145
Colombia,8.413569093311482e+16,38821278.20171642,3.3392656237781656e+16,251.95866520471847,7.374894680348424e+16,-1.0310250384261118e+16,60359154.505977616,5.19187566866911e+16,142.0468276013033,21537876.304261193,1.852610044890945e+16,-43.62296391517668
Costa Rica,9035110040881516.0,3727637.439025879,3206378598192896.5,281.78550237247936,8051727381892769.0,-983382658988748.6,6303473.339685338,5422019265888764.0,148.5005306518945,2575835.9006594587,2215640667695867.5,-47.30015227838143
Croatia,2.945311724460541e+16,3907779.8298797607,3361330552643737.0,876.2338836756204,1.962123733589384e+16,-9818821423736826.0,3513585.143543168,3022258573014379.5,649.2243089684995,-394194.6863365928,-339071979629357.5,-25.907417977819183
Cuba,2.043680896764945e+16,9019265.609825134,7758045329193224.0,263.42729515573376,1.853124566418338e+16,-1903928994514672.0,7333410.684775738,6307934034906767.0,293.77678272530125,-1685854.9250493962,-1450111294286457.0,11.521010968747708
Cyprus,956117235092325.8,380704.1021575928,327467868152258.06,291.97284011015506,1341529651431219.5,385412416338893.44,672701.7062059885,578633622241541.4,231.84440030192704,291997.60404839576,251165754089283.3,-20.593846943278304
Czech Republic,5.093095926735494e+16,10903461.812973022,9378762601028674.0,543.0456173586138,3.649641746931399e+16,-1.4434541798040954e+16,12220160.713426935,1.0511339264863988e+16,347.20996582528477,1316698.900453912,1132576663835314.0,-36.062467916761406
Democratic Republic of the Congo,3.4529660449915396e+16,44480160.09577656,3.826022130858352e+16,90.24950527970107,7.231292678476134e+16,3.808916266090423e+16,137137143.85814387,1.179603999253105e+17,61.30271415707986,92656983.76236731,7.970017861672698e+16,-32.07418260400362
Denmark,4.258058616062818e+16,3455331.4438934326,2972150852272289.5,1432.6522534370747,2.401300322396597e+16,-1.856758293666223e+16,4177503.9482446187,3593337461761897.0,668.2646280650699,722172.5043511861,621186609489607.5,-53.354721883008466
Djibouti,16678747464472.098,199224.3823852539,171365591843933.94,9.732845015737912,282509339053637.6,265830591589165.56,608686.1480516046,523569759681123.44,53.958299506392045,409461.7656663507,352204167837189.5,454.39390454838247
Dominican Republic,8559983739163359.0,6228600.94934082,5357616749838560.0,159.7722296844263,7180702501891248.0,-1373682736355677.8,10561783.804869987,9084863564286236.0,79.04028994028607,4333182.855529167,3727246814447676.0,-50.52939419046583
East Timor,4828234154507234.0,532154.5745544434,457740074428404.56,1054.7982193904286,3651623033194266.5,-1176611121312969.0,1332410.6573240054,1146091347543781.5,318.61535653507514,800256.082769562,688351273115377.0,-69.79371497998888
Ecuador,1.381854836851027e+16,10786739.825201988,9278362578320086.0,148.93304989825282,1.548073045647693e+16,1701874359066323.5,17565673.646094535,1.5109355714700848e+16,102.4579124933484,6778933.820892546,5830993136380762.0,-31.205388888937023
Egypt,6.37792714502162e+16,58465129.65344334,5.0289585166942024e+16,126.82401582453627,4.462510121669689e+16,-1.915417023351926e+16,100228126.09887649,8.621260080068248e+16,51.761692377042436,41762996.445433155,3.5923015633740456e+16,-59.18620614517061
El Salvador,2975390935980500.0,5219267.225097656,4489424468592094.0,66.27555395566321,2957638504871087.5,3328961347671.639,5616655.954404916,4831243848200761.0,61.21898620316098,397388.72930725943,341819379608667.0,-7.629612203445266
Equatorial Guinea,126733570377487.73,293441.8756713867,252408064184533.78,50.20979451941508,775347277845736.4,648613707468248.8,904749.5469991063,778232763157552.5,99.6292259272009,611307.6713277196,525824698973018.75,98.42587861752028
Eritrea,3777663260645123.5,2691501.7985076904,2315132280136119.5,163.17267454035124,5135878299113905.0,1359021243530085.2,10301027.163187908,8860570153539573.0,57.96329367204719,7609525.364680218,6545437873403454.0,-64.47732818296524
Estonia,5934486710113375.0,1076654.5895996094,926099249244711.0,640.8046129994492,5524917225219131.0,-409466460111784.3,910177.9020262805,782902037374058.0,705.6971321406096,-166476.68757332885,-143197211870653.0,10.126724718384038
Ethiopia,1.1098720394334072e+17,65362296.381484985,5.622227796410955e+16,197.4078745336347,1.0553908931797502e+17,-5427237549005517.0,156502802.8625926,1.346180377957984e+17,78.39892115948598,91140506.48110762,7.839575983168885e+16,-60.2858187168576
Falkland Islands,,6.942185163497925,5971416023.428738,,336064643539.6816,,164.48213578368407,141481570723.70288,237.53245162649267,157.53995062018615,135510154700.27414,
Fiji,,325765.5844268799,280211746721566.6,,892288939146135.5,,579866.2105844257,498779894194589.3,178.89432784514491,254100.62615754583,218568147473022.72,
Finland,1.7041687378351214e+16,4213890.265101314,3624635652518040.0,470.1627697810765,2.264745709424332e+16,5605769715892084.0,5017034.5502202455,4315471252597009.5,524.7968476354534,803144.2851189319,690835600078969.5,11.620247575072007
France,5.169772248232321e+17,53418928.65773392,4.594902599521887e+16,1125.1103013087265,2.747387615440239e+17,-2.422334784867379e+17,69328636.54351383,5.9633979991655896e+16,460.7084108464099,15909707.885779917,1.3684953996437024e+16,-59.05215601434681
French Guiana,34046609187587.582,91335.78842175007,78563734278059.12,43.336291866024425,179165903481229.3,145119294293641.8,194024.01646305935,166892425590926.88,107.35412517784731,102688.22804130928,88328691312867.75,147.7233758479755
Gabon,992112145757590.0,791385.5547332764,680721166455205.2,145.74427748793616,3556506318415416.0,2566379005690913.5,1454299.9217733478,1250936074337269.5,284.30759903535517,662914.3670400714,570214907882064.2,95.07290710531564
Gambia,3672282435498689.5,859410.9399414062,739234136891024.8,496.7685138220347,2607896682930303.5,-1064385752568384.6,2247683.0600964515,1933375489784039.0,134.88826649093443,1388272.1201550453,1194141352893014.2,-72.84685668720591
Georgia,1.1243103230955478e+16,4355307.855484009,3746277937377583.0,300.1139642838598,8942186421565443.0,-2297031408975402.5,3039742.3394996566,2614676169777797.5,341.99976750181554,-1315565.5159843522,-1131601767599785.5,13.956632547207462
Germany,3.0803873647832166e+17,79236299.7531128,6.8156192731761576e+16,451.96001145582187,1.8109458252835062e+17,-1.2694382350671762e+17,76967199.82115127,6.620439522516081e+16,273.5386101065479,-2269099.9319615215,-1951797506600768.0,-39.477253922212164
Ghana,3.0439012453820656e+16,16648458.295532227,1.4320400319203608e+16,212.5569940457743,3.231730895528613e+16,1878536973616359.2,40470109.78909476,3.481092139909946e+16,92.83669508421045,23821651.493562534,2.0490521079895852e+16,-56.32385774884547
Greece,4.320385252668264e+16,6662394.648025513,5730750364425555.0,753.8952105622446,3.371358092970727e+16,-9489941273294560.0,7222549.2807111945,6212575073856344.0,542.6667771240336,560154.6326856818,481824709430789.0,-28.018275017383356
Guatemala,1.4014995139931152e+16,11539085.662155151,9925503194730608.0,141.20186014721784,1.419017690469967e+16,195986797533804.1,23178251.77717095,1.993709196709553e+16,71.17475772354037,11639166.115015797,1.001158877236492e+16,-49.59361183391411
Guinea,1.7820145047736422e+16,7768911.815673828,6682536320789309.0,266.66738783443816,2.342599573071878e+16,5606207807814945.0,14666993.853520868,1.261601643427146e+16,185.68456891893362,6898082.03784704,5933480113482151.0,-30.368474965443898
Guinea Bissau,1850645362633075.0,1092581.4561157227,939798962472960.4,196.91928130707223,2850547403678220.5,999902041045145.4,2179362.5154476655,1874608633896896.8,152.0609343269994,1086781.0593319428,934809671423936.4,-22.78006840280997
Guyana,1518605260998788.5,280686.35500371456,241436227693826.38,628.9881495848189,1549224706942129.2,30619445943340.16,485719.30333972763,417798137408087.6,370.8069922362798,205032.94833601307,176361909714261.25,-41.04706225688969
Haiti,1189467506141654.0,6032077.842529297,5188574697321909.0,22.92474476190156,1064097967010662.9,-106990970053378.7,8501720.627052529,7312871896017855.0,14.55102704028093,2469642.784523232,2124297198695946.0,-36.52698343467205
Honduras,1.1325776644647256e+16,5904062.23532486,5078460312570414.0,223.0159526227512,1.1913248648652766e+16,616423044476720.0,10937776.630882103,9408278963481916.0,126.62516380406927,5033714.395557243,4329818650911502.0,-43.22147706703942
Hungary,7.853689351783024e+16,10394645.911621094,8941097607262169.0,878.3808987169621,3.5869530295601976e+16,-4.266736322222841e+16,9191427.56336699,7906132800759113.0,453.6924840442591,-1203218.3482541032,-1034964806503056.0,-48.34900386529796
Iceland,,1053.1948093175888,905919996663.1521,,32528593938669.258,,3068.2586518350995,2639204867932.4233,1232.5149265184725,2015.0638425175107,1733284871269.2712,
India,1.105003469885005e+18,1013309517.805995,8.716121147466964e+17,126.77697466448542,8.801016385488471e+17,-2.2482026984396595e+17,1670480987.558992,1.4368871905624458e+18,61.250573067211064,657171469.7529969,5.652750758157494e+17,-51.686358481648284
Indonesia,4.6122183972490246e+17,170760448.9959736,1.4688194816006038e+17,314.0085255557063,3.712832439287213e+17,-8.93887630002565e+16,215268799.84958383,1.8516641813661747e+17,200.51327215002078,44508350.85361025,3.828446997655709e+16,-36.14400379888763
Iran,1.3696154099052126e+17,53328808.824150085,4.587150818121403e+16,298.57649425752203,1.488728300124996e+17,1.3246758480838062e+16,75830495.3435388,6.522664323905588e+16,228.2392939751324,22501686.51938872,1.935513505784185e+16,-23.55751428366757
Iraq,4.353994095658437e+16,20844769.759251595,1.7929915324004448e+16,242.83405788477646,4.0993080042668424e+16,-2144883018080204.8,51998192.800720386,4.472696051269065e+16,91.65183498448819,31153423.04146879,2.67970451886862e+16,-62.25742147422478
Ireland,9289764175370242.0,2941134.57611084,2529857346242160.5,367.20505957259684,4710275843739294.0,-4578148108881997.0,4536258.157333979,3901924827580485.5,120.71672448543949,1595123.5812231395,1372067481338325.0,-67.12552800172578
Israel,4513930247641042.0,4701844.944440842,4044356579328776.0,111.61059019158492,5001769516197412.0,506479766969475.06,11077984.759794613,9528880913427784.0,52.49062887488796,6376139.815353772,5484524334099008.0,-52.969849200882024
Italy,1.5064301267802112e+17,46388921.41654587,3.990206860411141e+16,377.5318371902635,1.1107567040434995e+17,-3.956370915269289e+16,50361996.08590067,4.331956341073364e+16,256.409948898118,3973074.669354804,3417494806622232.0,-32.08256267698666
Ivory Coast,3.753429942910246e+16,14866940.986755371,1.27880037101962e+16,293.51179652204365,4.82507636171765e+16,1.0716831435808234e+16,28477017.10866356,2.4494897825002204e+16,196.98291440891998,13610076.121908188,1.1706894114806004e+16,-32.887564744224534
Jamaica,624951839169561.2,1935099.841796875,1664502736544406.8,37.545858318442505,743790570569989.6,118838731400428.25,1863577.2638733855,1602981607708070.8,46.40044321116416,-71522.5779234895,-61521128836336.0,23.58338652860757
Japan,1.0038135899977664e+17,99948796.18960571,8.597233133843696e+16,116.76007552315569,5.683067034829517e+16,-4.3243381712845304e+16,82729586.50331405,7.116099136264e+16,79.86211161489194,-17219209.686291665,-1.481133997579696e+16,-31.60152453048576
Jordan,1811025298149609.5,4341746.698570251,3734613121792307.0,48.49298278265746,2459152096509598.5,685194064238775.4,11011896.726729348,9472034383076242.0,25.96223785782899,6670150.028159097,5737421261283935.0,-46.46186650511863
Kazakhstan,1.9892369719243814e+17,12844471.064631462,1.104834839771989e+16,1800.4835657924323,2.4023616835484307e+17,4.146002417288886e+16,17935429.931882117,1.5427406668069966e+16,1557.2038355095597,5090958.867250655,4379058270350076.0,-13.51191062806507
Kenya,4.946789893593584e+16,29474692.233419657,2.535306180159413e+16,195.1160744333666,4.885008061243728e+16,-615329904439604.0,75054958.51694846,6.4559554574032824e+16,75.66669400796297,45580266.283528805,3.9206492772438696e+16,-61.21965131386259
Kosovo,3208394429717828.0,1442650.0411987305,1240915269375154.5,258.5506447457424,3682845899910834.0,474919325740511.2,2067310.171810812,1778225269797932.5,207.10794984537205,624660.1306120816,537310000422778.0,-19.896564153208303
Kuwait,80170741482052.48,932506.5166015625,802108302219437.2,9.995002078923717,169386588695709.3,91250940918239.0,2537299.2038675467,2182492798070723.5,7.761152240476734,1604792.6872659842,1380384495851286.2,-22.349668572430442
Kyrgyzstan,3.598707589749643e+16,5194355.530448914,4467996331904176.5,805.4410349562532,2.2619424190266356e+16,-1.335466745217482e+16,6533823.902655681,5620158469947945.0,402.46950884422057,1339468.372206767,1152162138043768.5,-50.031164122885755
Laos,3.0824496463084524e+16,5239445.559576035,4506781140445770.0,683.9581400226514,1.903587108559588e+16,-1.1788625377488652e+16,8068090.148837618,6939878677762223.0,274.29688571636575,2828644.589261583,2433097537316453.0,-59.895661786073404
Latvia,1.2297599427097608e+16,1881705.2710723877,1618574662360391.5,759.7795587114798,9144098540206456.0,-3153500886891136.0,1402216.4312042887,1206135743776298.0,758.1317929918187,-479488.83986809896,-412438918584093.5,-0.2168741841983245
Lebanon,3083001627300682.5,1515476.631652832,1303558062519868.8,236.50665942267466,3391749480690426.0,308747853389742.1,2902248.610373881,2496409048131486.5,135.8651332893175,1386771.9787210491,1192850985611617.8,-42.55335827711088
Liberia,4812415758447212.0,2120253.843322754,1823765496824412.5,263.8725081062623,1.2031975356782512e+16,7219559598335294.0,8940246.893811718,7690076294106939.0,156.46106614056427,6819993.050488964,5866310797282526.0,-40.70581006583796
Libya,1856800070252260.0,2435406.9720716476,2094848793873293.8,88.63647226867906,7976337506015445.0,6119537435763198.0,5530277.493978719,4756944227761338.0,167.67775958914663,3094870.5219070716,2662095433888044.0,89.17467640281744
Lithuania,2.784983372493656e+16,3325416.3181152344,2860402570501193.0,973.6333623856581,1.7015585519180294e+16,-1.083424820575623e+16,2556476.0427146717,2198988019686612.2,773.7916426486607,-768940.2754005627,-661414550814580.8,-20.52535661343121
Luxembourg,775229932570447.6,375400.7824707031,322906144802934.25,240.0790276207228,579521898031186.0,-195708034539261.88,670386.0644619421,576641791155325.9,100.49946204386083,294985.28199123894,253735646352391.62,-58.13900820915102
Macedonia,8190884780559512.0,2004969.4958190918,1724602080159359.2,474.94345940964223,7123861777564570.0,-1063238624587325.9,2330612.7302270206,2004708585829812.2,355.3564756453506,325643.2344079288,280106505670453.0,-25.179204260005818
Madagascar,2.6321636321942776e+16,14486115.762428284,1.2460431657144422e+16,211.24176951647394,2.099821763049406e+16,-5244385352331051.0,37479768.54771193,3.2238738263131948e+16,65.13349703424191,22993652.785283647,1.977830660598753e+16,-69.16637406355261
Malawi,1.7272196931533846e+16,10616886.329425335,9132260758442232.0,189.13385620933707,1.5062455135989436e+16,-2187051265827533.5,37579250.45525817,3.232430899378407e+16,46.597918423827494,26962364.125832833,2.319204823534184e+16,-75.36246584416278
Malaysia,5.951110866802456e+16,20694261.494833827,1.780045357087687e+16,334.3235520997624,4.992581560831706e+16,-8932709734797384.0,35689603.66195574,3.069890332188158e+16,162.6306160999924,14995342.16712191,1.289844975100471e+16,-51.35532178975435
Mali,7.944750004299742e+16,10809041.012992144,9297545251639120.0,854.4997404448357,7.818240360838059e+16,-1259744923967689.0,34677180.55250218,2.9828053663467344e+16,262.1103089409298,23868139.539510034,2.0530508411828224e+16,-69.32587611969544
Mauritania,6361087837822066.0,1828936.461069107,1573184844864932.2,404.3445917105949,8304592812927398.0,1957561589437365.0,4710498.084686446,4051799696891711.0,204.96059613455637,2881561.623617339,2478614852026779.0,-49.31041484505508
Mexico,2.3409591545921504e+17,92712503.39087847,7.974793458858574e+16,293.5448004602253,1.7984877020357168e+17,-5.358533293506809e+16,129649376.46895343,1.1151969384869674e+17,161.2708607751199,36936873.07807496,3.177175926011099e+16,-45.06090364323392
Moldova,1.7482363038824906e+16,4022321.474975586,3459855123620531.0,505.2917655271837,9620448686719664.0,-7861914352105255.0,2108636.0861533065,1813772323250951.2,530.4110424111147,-1913685.3888222794,-1646082800369579.8,4.971242081834335
Mongolia,1.9034990897640652e+16,2092688.7089412212,1800054967465539.5,1057.4672019289355,3.4634501913685268e+16,1.569169216193629e+16,3136450.7225994174,2697861215241324.5,1283.7762638797267,1043762.0136581962,897806247775785.0,21.40104785642323
Montenegro,2290870080745124.5,571119.8375244141,491256581144390.7,466.3286292080817,1715494466623141.5,-556023999701031.0,605806.3770364518,521092685045588.3,329.2110052308755,34686.539512037765,29836103901197.625,-29.40364699676686
Morocco,2.20532475728171e+16,23068095.880829,1.9842339858213424e+16,111.1423739861431,3.464207780818362e+16,1.2588922214404222e+16,31155983.442442324,2.67992475527891e+16,129.26511365644026,8087887.561613325,6956907694575676.0,16.30587778569194
Mozambique,2.5950566985717384e+16,17274762.667983532,1.485912463685272e+16,174.64398219903433,2.6366792753268624e+16,445136639745984.8,40268627.6191396,3.463761374023269e+16,76.12185109230765,22993864.951156065,1.977848910337997e+16,-56.413126788671825
Myanmar,1.2392818438289106e+17,45790861.29683685,3.938763896881705e+16,314.6372507400208,6.711624455168141e+16,-5.669717886120487e+16,44683181.88783696,3.843485329457392e+16,174.62339204806233,-1107679.40899989,-952785674243128.0,-44.500089662825545
Namibia,4450599504278593.5,1779216.9198179692,1530417897814073.8,290.8094260159577,1.2648434047816934e+16,8205530311758080.0,2592053.528684721,2229590483434182.0,567.2985304608436,812836.6088667517,699172585620108.2,95.07570240509125
Nepal,2.4816227454586064e+16,22940405.316625595,1.973250506366861e+16,125.76318807224118,1.4318737899988354e+16,-1.0495741053613522e+16,47147933.356166065,4.055494316038989e+16,35.307010154987715,24207528.03954047,2.082243809672128e+16,-71.92579903850196
Netherlands,1.4511399596950084e+16,8866651.625,7626772311703594.0,190.26921224174674,7062360308283847.0,-7449039288666242.0,9274958.260112636,7977982878111960.0,88.52313192674085,408306.6351126358,351210566408366.0,-53.4747997935327
New Caledonia,,69622.68518066406,59886909970069.43,,562514563644364.1,,146128.1521617895,125694139344055.47,447.5264849895864,76505.46698112544,65807229373986.04,
New Zealand,4330969434697371.0,2157482.8432654403,1855788533023863.5,233.37623644221964,2443741195531854.5,-1796651109868288.8,2609190.7890480943,2244331333573067.8,108.88504558020486,451707.945782654,388542800549204.25,-53.34355920716755
Nicaragua,1.7638433460922494e+16,4717731.040576935,4058021223354058.5,434.6560180467434,2.6538882970700384e+16,8900753495360590.0,6546618.390088101,5631163824237144.0,471.2859330512484,1828887.349511166,1573142600883085.5,8.427334140940335
Niger,1.0648569368553752e+16,10542861.613089085,9068587380845756.0,117.42258106312302,2.0237720500839844e+16,9589333493284230.0,47557340.06124312,4.090709996710411e+16,49.47239114264816,37014478.44815403,3.1838512586258356e+16,-57.86807725163764
Nigeria,1.8720085415325386e+17,119144992.85244751,1.0248420384568445e+17,182.66312966155397,2.0658941427900006e+17,1.938859502184065e+16,360862805.16634357,3.104011037274015e+17,66.55563134222285,241717812.31389606,2.0791689988171702e+17,-63.56372987502187
North Korea,2.320655785453859e+16,20164580.490516663,1.7344841171899652e+16,133.79515917468012,2.0460417620457388e+16,-2746140234081242.0,21508726.98072464,1.8501027257466284e+16,110.59071118443097,1344146.4902079776,1156186085566632.0,-17.3432642357067
Norway,4084461938335196.5,2668947.5977783203,2295731974258491.5,177.91545285483315,9908404569864140.0,5827343027756008.0,4174850.4513027407,3591055019881758.0,275.9190409226977,1505902.8535244204,1295323045623266.5,55.08435973115208
Oman,1037118974427772.4,667347.6053727865,574028218790976.2,180.67386593156732,2500040688563010.5,1463768056883026.8,2270366.4802599717,1952886945534718.2,128.017686547568,1603018.8748871852,1378858726743742.0,-29.144325391223752
Pakistan,1.826853989302849e+17,129189192.71616554,1.1112386046620963e+17,164.39799532147785,1.801325115219504e+17,-2376905936782952.0,272078641.02485263,2.340321841588411e+17,76.96911951208035,142889448.3086871,1.2290832369263146e+17,-53.18122987961723
Panama,9051119650481718.0,2082839.7537384033,1791583253224701.5,505.20229155918105,9604981050716444.0,559374772053650.6,3693957.587282498,3177408410617865.5,302.2897849272294,1611117.8335440946,1385825157393164.0,-40.164605351593465
Papua New Guinea,2.123016589506739e+16,4541411.434844971,3906357490089130.5,543.4772917975561,1.5205447560067238e+16,-5671493296339761.0,7577831.138550311,6518175649002205.0,233.2776589473294,3036419.7037053406,2611818158913074.5,-57.07683421771654
Paraguay,3.5441187447311496e+16,5704727.678309202,4906999952503237.0,722.2577499564001,5.3287965439839176e+16,1.7850545881921198e+16,9866892.124907844,8487142931006199.0,627.866949726527,4162164.4465986416,3580142978502962.0,-13.06885253021807
Peru,2.4757120138414744e+16,15456971.437288642,1.3295526515141088e+16,186.20639137698737,2.179576983244386e+16,-2901848536073369.5,19066504.67498835,1.6400316160630512e+16,132.898473535317,3609533.23769971,3104789645489424.0,-28.628403916461114
Philippines,1.0345750755899133e+17,50368466.69346619,4.3325129192801976e+16,238.7933042244216,8.336367624878805e+16,-2.0045719707138756e+16,104185382.68819742,8.961648946826498e+16,93.02269788006907,53816915.99473123,4.6291360275463e+16,-61.044679128588584
