,Calories 2050,Population 2050,Precipitation 2050,Temperature 2050,max_lat,max_lon,min_lat,min_lon,workability_index 2050,ΔCalories,percent_change_in_production,percent_cropland 2050
3661,19174900296910.727,17392.212559467433,426.4210526315789,248.5263157894737,-27.0,-100.74665919282506,-27.53608108108108,-101.2817264573991,2.1052631578947367,7496781914085.747,64.19511832583638,2.4809682896106025
3662,3263579275487.92,1620.4338934425336,331.7,229.8,-26.140675675675674,-100.74665919282506,-26.67,-101.2817264573991,4.5,1482111564690.3262,83.19609475418217,0.7284079084287202
3663,23023682812943.305,61792.990366757695,302.5217391304348,216.56521739130437,-25.46797297297297,-100.92,-26.190675675675674,-101.2817264573991,3.652173913043478,9387608253580.152,68.84391994713897,2.402388815997829
3664,109302408277677.2,201537.51999600852,450.1764705882353,201.29411764705884,-24.795270270270272,-100.74665919282506,-25.51797297297297,-101.2817264573991,3.4117647058823533,39421310776554.695,56.411980043561094,8.979616820713717
3665,13820945421724.92,26622.23958159469,375.7272727272728,202.8636363636364,-24.122567567567568,-100.74665919282506,-24.845270270270273,-101.2817264573991,1.7272727272727273,9257609765188.22,202.8693583371905,2.0291363163371487
3666,25503297277148.89,19058.88105508226,359.60526315789474,192.26315789473685,-23.449864864864864,-100.74665919282506,-24.172567567567558,-101.2817264573991,3.5789473684210527,10113731913658.348,65.71811272624811,2.5603811818829074
3667,45692398496870.52,26145.667528434096,440.4117647058823,198.5,-22.777162162162167,-100.74665919282506,-23.49986486486486,-101.2817264573991,3.4705882352941178,6149634898835.56,15.551859150130731,5.45081716349391
3668,265581881298721.2,981256.5226958912,413.2826086956522,201.34782608695653,-22.104459459459466,-100.74665919282506,-22.82716216216216,-101.2817264573991,3.804347826086957,-38929780553330.375,-12.784331580786745,21.8748586164774
3669,227514925947645.03,228154.42481581413,489.81395348837214,193.5813953488372,-21.431756756756755,-100.74665919282506,-22.154459459459463,-101.2817264573991,2.7906976744186047,-33104915635920.05,-12.702377315084545,19.120102606296733
3670,277389700023718.8,412890.11255701695,672.4042553191489,197.6382978723404,-20.75905405405405,-100.74665919282506,-21.481756756756752,-101.2817264573991,2.276595744680851,9892564753475.18,3.6981946529935916,19.939336241060953
3671,1380354157482622.2,1431089.860642503,769.3333333333335,209.5625,-20.086351351351357,-100.74665919282506,-20.80905405405405,-101.2817264573991,2.5625,-2642919782460675.0,-65.69077378056745,63.15036420395421
3672,550403081239376.9,626133.8781722651,944.0,198.17777777777775,-19.41364864864865,-100.74665919282506,-20.13635135135135,-101.2817264573991,2.2444444444444445,-1111692556438170.0,-66.8849933323658,32.852352873164534
3673,152803261742111.72,55225.898604361784,1178.1521739130435,271.8478260869565,-18.740945945945946,-100.74665919282506,-19.463648648648643,-101.2817264573991,1.0,6235413424161.41,4.2542846167973325,7.72971994751844
3674,1063995501241617.2,62348.250156307695,1043.8936170212767,291.82978723404256,-18.068243243243245,-100.74665919282506,-18.790945945945946,-101.2817264573991,1.7872340425531914,-370706178778914.3,-25.838554728228182,40.57387030354019
3675,206677282488783.3,36022.089854008664,1374.6285714285714,254.65714285714282,-17.395540540540544,-100.74665919282506,-18.11824324324324,-101.2817264573991,2.7142857142857144,4993558870058.252,2.4759354798002287,11.461275457113125
3676,124293080514689.88,7749.186062166475,1181.2,286.6,-17.33,-100.74665919282506,-17.44554054054054,-101.0,2.0,-36021180047417.09,-22.469105319212833,50.05202913631634
3677,13450112711.860077,0.0,148.0,-134.0,-78.61148648648648,-100.75,-78.67,-100.79665919282509,6.0,13450112711.860077,inf,0.10405827263267431
3678,72106288457.60373,0.0,140.0,-126.75,-78.08,-100.26159192825114,-78.33,-100.79665919282509,6.0,72106288457.60373,inf,0.1300728407908429
3679,35516112464.547005,0.0,134.5,-117.0,-75.92,-100.42,-75.9706756756757,-100.67,6.0,35516112464.547005,inf,0.10405827263267431
3680,62933905540.879875,0.0,125.66666666666669,-98.0,-73.42,-100.26159192825114,-73.67,-100.79665919282509,6.0,62933905540.879875,inf,0.10405827263267431
3681,35346008487.950615,0.0,120.5,-95.0,-72.55716216216216,-100.42,-72.67,-100.67,6.0,35346008487.950615,inf,0.10405827263267431
3682,36069288758.1685,0.0,120.0,-94.5,-72.42,-100.26159192825114,-72.42,-100.79665919282509,6.0,36069288758.1685,inf,0.10405827263267431
3683,152024910141.0395,0.0,177.5,-88.66666666666669,-67.17554054054054,-100.26159192825114,-67.58,-100.79665919282509,6.0,152024910141.0395,inf,0.12140131807145335
3684,111418282543.92232,0.0,198.0,-87.4,-66.67,-100.42,-66.92,-100.79665919282509,6.0,111418282543.92232,inf,0.10405827263267431
3685,114323885412.00066,0.0,210.75,-84.0,-66.08,-100.42,-66.42,-100.79665919282509,6.25,114323885412.00066,inf,0.1300728407908429
3686,79401256088.12189,0.0,476.5,-14.0,-57.757702702702716,-100.26159192825114,-58.0,-100.79665919282509,6.0,79401256088.12189,inf,0.10405827263267431
3687,196279770125.1187,0.0,479.8,-7.4,-57.085,-100.26159192825114,-57.80770270270271,-100.79665919282509,6.2,196279770125.1187,inf,0.10405827263267431
3688,196884032581.5278,1.7782539297037403,488.8,1.6,-56.58,-100.26159192825114,-57.135,-100.79665919282509,4.8,196884032581.5278,inf,0.10405827263267431
3689,1189977305329.3408,0.0,507.8,14.0,-55.7395945945946,-100.26159192825114,-55.92,-100.79665919282509,4.4,1189977305329.3408,inf,0.582726326742976
3690,3641244536974.9614,0.0,509.4285714285714,18.428571428571427,-55.06689189189189,-100.26159192825114,-55.789594594594604,-100.79665919282509,3.6428571428571432,3641244536974.9614,inf,0.676378772112383
3691,3635130847483.3433,18.671666261889268,505.7647058823529,26.0,-54.394189189189184,-100.26159192825114,-55.11689189189189,-100.67,3.0588235294117645,3635130847483.3433,inf,0.5753810369100814
3692,3911231248495.118,45.790038689871295,493.75,34.5,-53.72148648648649,-100.26159192825114,-54.44418918918919,-100.79665919282509,3.125,3911231248495.118,inf,0.6373569198751301
3693,549051009617.1725,0.0,495.33333333333326,40.333333333333336,-53.048783783783776,-100.26159192825114,-53.58,-100.79665919282509,3.6666666666666665,549051009617.1725,inf,0.4856052722858134
3694,16018068837799.793,328.976976995192,503.7272727272728,46.04545454545455,-52.376081081081075,-100.26159192825114,-53.09878378378378,-100.79665919282509,3.863636363636364,15892696679637.812,12676.416289416104,2.0054867089206323
3695,272861342995789.3,756.2024836065157,520.4857142857144,46.88571428571429,-51.70337837837838,-100.26159192825114,-52.42608108108107,-100.79665919282509,1.2,45901673353381.49,20.224594715749756,19.857291511818044
3696,1294464728096923.5,4025.9668968492683,536.9268292682926,46.73170731707317,-51.03067567567568,-100.26159192825114,-51.75337837837838,-100.79665919282509,2.8780487804878048,79926486214105.62,6.580812646146139,78.87870866221671
3697,1035523974620330.8,4005.516976657675,555.8888888888888,41.155555555555566,-50.357972972972966,-100.26159192825114,-51.08067567567567,-100.79665919282509,1.1111111111111112,151727792202077.5,17.167735640916447,56.75800670597756
3698,1899444743291346.5,7074.78325932633,519.2916666666666,52.875,-49.68527027027027,-100.26159192825114,-50.40797297297296,-100.79665919282509,1.0,243757690108765.6,14.722449489486046,95.34989594172735
3699,1776690870923880.8,5878.462928118139,488.72916666666674,60.22916666666666,-49.012567567567565,-100.26159192825114,-49.73527027027027,-100.79665919282509,1.0,344475939591821.1,24.051972372012266,88.15903572667361
3700,1383169441395828.2,5493.470952337279,470.25,66.54166666666667,-48.339864864864865,-100.26159192825114,-49.062567567567555,-100.79665919282509,1.0,411919497455407.5,42.411276317219105,64.98005549774537
3701,982415043669566.0,2946.566761519098,471.29166666666674,79.625,-47.667162162162164,-100.26159192825114,-48.389864864864855,-100.79665919282509,1.0,376569056000113.3,62.155904910534446,42.85466527922302
3702,937317840402499.4,2727.3969646831115,481.1875,79.70833333333333,-46.994459459459456,-100.26159192825114,-47.71716216216216,-100.79665919282509,1.0,416670224928603.4,80.02921986867224,41.2005723204995
3703,603801198211482.6,27786.995905550648,456.39583333333326,84.91666666666667,-46.321756756756756,-100.26159192825114,-47.04445945945946,-100.79665919282509,1.0,321372667686573.4,113.78902375382695,27.219909816163725
3704,512548076158605.9,2345.0723697968074,437.58333333333326,94.6875,-45.64905405405406,-100.26159192825114,-46.37175675675675,-100.79665919282509,1.0,231624175394937.44,82.45086116392596,26.27904960110997
3705,229513828946188.44,5345.875876171869,466.075,101.45,-44.976351351351354,-100.26159192825114,-45.69905405405405,-100.79665919282509,1.0,124161045626472.1,117.8526487047598,12.986472424557746
3706,918703381418639.6,17706.963505024996,468.5098039215686,110.82352941176471,-44.303648648648654,-100.26159192825114,-45.026351351351344,-100.79665919282509,1.0,197119772310526.88,27.31766212846347,37.44070208728653
