,Country,Calories2000,Population2000,Caloryrequirements2000,Cropland2000,Sufficiency2000,Percentageoftotalcal2000,Yield2000,Calories2050,Population2050,Caloryrequirements2050,Cropland2050,Sufficiency2050,Percentageoftotalcal2050,Yield2050,diffCalories,diffPopulation,diffCaloryrequirements,diffYield
13,Benin,1.332648417242971e+16,5745425.961975098,4938624521264745.0,37.96466284662606,269.84202008167443,0.07898335121316524,2860929848.3162518,1.6024063578787358e+16,13950663.304678088,1.1991641410118668e+16,49.587447302581786,133.62694088956073,0.12479958992840612,2835850733.1195173,20.242630978475294,142.81338576125842,142.81338576125842,-0.8766071356658496
14,Bhutan,660052271281939.0,550330.0091209412,473049917590133.0,3.3107602757544217,139.5312094428545,0.003911995068403988,4902757233.203125,574859220188957.2,729975.9014199758,627469035463075.8,3.9039113088163546,91.61555195543761,0.0044771536628896965,4550864481.984529,-12.035687741330793,32.643302985782746,32.64330298578276,-7.177445965210353
15,Bolivia,2.406555537062289e+16,7954405.201395035,6837407850989137.0,8.16429296908976,351.96899022399884,0.1426316339241357,2821991246.764541,2.044432483471829e+16,9787766.913362524,8413319744553590.0,11.76153936107348,242.99949907351424,0.15922573841466595,2806731904.419838,-13.168343275583801,23.048382192623983,23.048382192623983,-0.5407296129000332
16,Bosnia and Herzegovina,1.4441865595056788e+16,3727504.4698333736,3204069654657022.5,30.553747215004787,450.7350698217798,0.08559398921041374,8269721274.723928,1.1330588349107884e+16,3129692.672513918,2690205578976151.5,29.58968506353707,421.17927483520134,0.08824557969728489,7152796540.492466,-21.531631882184573,-16.037855947793908,-16.037855947793908,-13.506195639813148
17,Botswana,2520531345873373.0,1635963.0485083237,1406232937421542.2,7.556443315231628,179.2399593836139,0.014938674744143869,1064568889.4917632,4886211039514222.0,2113004.1128335046,1816285510288860.0,12.799431566650481,269.0221890685636,0.038055087028129035,1356896563.9954274,94.115195993926,29.159647875919227,29.159647875919248,27.459723592263185
18,Brazil,9.980831303120384e+17,157959524.76304185,1.357780584981917e+17,30.204770775291422,735.0842554029676,5.915434964044107,3978216189.8066382,8.312522083544699e+17,179543405.1851719,1.5433102251204413e+17,33.65630471113915,538.6164070089009,6.474009181232322,3775493926.115523,-16.669842066479244,13.664184198140914,13.66418419814091,-5.095808121503026
19,Brunei,506506986429364.5,234504.3640475273,201574088726153.28,17.188885034878787,251.2758408733154,0.003001963509913397,3884119696.2962976,325430780030883.25,371858.04173476546,319639876224161.0,15.381413591611304,101.81169629869996,0.0025345398623917,3673251740.1165032,-35.74999185598269,58.57190685773357,58.57190685773357,-5.428976773832893
20,Bulgaria,4.714159714840084e+16,7802636.94229126,6706951649670010.0,61.39493142614882,702.8766511343537,0.2793986227834041,6706112113.227511,3.730357213000183e+16,6067064.140913943,5215096658926102.0,57.43604841629213,715.2997263464611,0.2905299571359574,5878961131.672242,-20.86113928507155,-22.243413530755202,-22.243413530755195,-12.334285016257796
21,Burkina Faso,5.956497762386951e+16,11683553.548919678,1.0042890541812632e+16,69.96777044021265,593.1059128432828,0.35302946274483554,2936186161.588181,5.508170456601498e+16,32513873.75914133,2.7948113036513908e+16,68.52598232068253,197.0855939148784,0.4289906931907279,2835526299.572669,-7.526424713994842,178.2875400279886,178.2875400279886,-3.4282520411125983
22,Burundi,3583290835196196.0,6670096.04296875,5733447806134863.0,60.899757197363826,62.49801090649204,0.02123743328497246,2283342891.6666665,3361351377118563.0,15349301.540109,1.3193875871339194e+16,59.721123829344435,25.47660300806955,0.02617908194179954,2172086318.844811,-6.193732752521209,130.12114730026101,130.12114730026107,-4.872530237482058
23,Cambodia,3.550593840578428e+16,12144963.580963135,1.0439507070106386e+16,39.82276177635382,340.11125398301436,0.2104364487265791,4641681101.7005205,3.3145485222525908e+16,15460580.25459577,1.3289528272344158e+16,47.28674140146658,249.41054748724602,0.25814569091108885,4077735448.648546,-6.638691648065295,27.300342660802738,27.300342660802738,-12.149599265778232
24,Cameroon,1.7201833569552964e+16,15287701.272506716,1.3140925821314958e+16,16.419077904277838,130.90275223722136,0.10195175597366164,1791243558.7994266,2.3805728030735624e+16,28529760.667135663,2.4523469025453136e+16,22.007026993939924,97.07324851156841,0.18540522393557546,2941502782.4224787,38.39668619929087,86.61903551479887,86.61903551479887,64.21567954689587
25,Canada,4.344452705058079e+17,24859696.307693984,2.1368773453686056e+16,30.201808481142386,2033.0847320151975,2.5748684303582987,6320439942.462945,4.1304864690714496e+17,38638087.22359553,3.321233382522213e+16,35.27061102759947,1243.6604096562082,3.2169306806005373,7485120213.964405,-4.9022216458002585,55.424614787579635,55.424614787579635,18.42720256981996
26,Central African Republic,2681258762667454.0,3609335.7326407433,3102494762384667.0,2.4748978001845,86.42266846589489,0.015891273332486855,2040752551.4066875,5739587620533037.0,4686781.565257315,4028640263956056.0,6.994601730088746,142.46959878459984,0.04470140659881768,2510017789.5561037,114.87368166319185,29.85163787543439,29.85163787543437,22.9947152498206
27,Chad,4.772499696783466e+16,7953446.101333617,6836583432553845.0,37.80874055147473,698.0825647586182,0.2828563144175837,1670132126.237624,5.921576231318877e+16,19500873.517623574,1.6762463353911284e+16,42.322467713702714,353.26408215157477,0.4611878140428085,2373834390.997295,24.13903426458861,145.18772453054913,145.1877245305492,42.134526586524046
28,Chile,5.219554556425309e+16,12054117.97334069,1.0361418456934324e+16,10.450987606170123,503.7490357251376,0.3093523433279653,8778771639.315767,2.518041766572185e+16,13313926.099386996,1.1444318026880576e+16,13.201223425155874,220.02549742656342,0.1961116656494128,5516671590.551947,-51.616671917724496,10.451267598612684,10.45126759861269,-37.158957799454434
29,China,2.8816992493346755e+18,1219139453.3035498,1.0479417955733988e+18,34.938217635413096,274.98657477993856,17.07924317891699,8649827296.411665,2.0730782476021775e+18,1162708006.5654638,9.994347347435084e+17,33.04328288287169,207.42507494841126,16.145674529945257,8191065622.99217,-27.760801354020966,-4.628793415320248,-4.628793415320253,-5.303709053356576
30,Colombia,8.413569093311482e+16,38821278.20171642,3.33698002102404e+16,18.367384734338554,252.13123963294086,0.4986550646479284,5447419654.160178,5.723037312804365e+16,53916965.60719329,4.6345675711803176e+16,18.090176506600454,123.48589647052742,0.44572508482083945,4755536710.62072,-30.611796448042806,38.8850859753748,38.885085975374814,-12.701113324564032
31,Costa Rica,9035110040881516.0,3727637.439025879,3204183951650670.0,33.34235945363608,281.9785061412277,0.0535492527792821,5213521797.769518,6975261213393084.0,5771749.587209859,4961251651425914.0,28.56569474824265,140.5947874341009,0.05432515508908448,5579432115.200633,-22.052465995578963,54.836667503751535,54.83666750375153,7.018486382614938
32,Croatia,2.945311724460541e+16,3907779.8298797607,3359029847268895.5,45.61532088091153,876.8340438699188,0.17456261333097478,10918527234.219269,2.0062437300284188e+16,3420170.7995018214,2939893314981778.0,44.34846110721229,682.4205898236323,0.15625149861202078,8029214524.044481,-31.88348406836695,-12.477904375511933,-12.47790437551194,-26.46247656112009
33,Cuba,2.043680896764945e+16,9019265.609825134,7752735236565440.0,55.172177558222586,263.60772480995,0.1211247947682756,4048484779.3594313,1.7861987549041324e+16,7157741.715979467,6152615835513050.0,52.884960564116476,290.31533946815745,0.1391138215638151,3929978503.2014756,-12.569147078678606,-20.63941760200317,-20.639417602003178,-2.9271760329232546
34,Cyprus,956117235092325.8,380704.10215759283,327243728612112.8,39.226952600702774,292.1728215074907,0.0056667116700210044,4394396026.086956,1301451429272561.2,646462.5174378006,555683018426597.5,37.15181951168017,234.20752229528054,0.010136043450299706,6636998532.549185,36.11839442962128,69.80707950716985,69.80707950716983,51.03323626612645
35,Czech Republic,5.093095926735494e+16,10903461.812973022,9372343187886286.0,51.80901028141757,543.4175664115991,0.3018573984996887,11775562124.395302,3.30574148832787e+16,12604375.309562527,1.0834405906717208e+16,47.33469579529632,305.11515968571456,0.2574597761199458,8365501459.654877,-35.09367316301969,15.599756533890405,15.59975653389039,-28.95879303864264
