,%cropland,%cropland 2000,Calories,Calories 2000,Change_in_Production,Change_in_Yield,calories_per_ha,calories_per_ha 2000,ha_per_cell_5m,lat,lon,max_lat,max_lon,min_lat,min_lon,population,precip,temp_avg
0,0.1,0.1,65910118617.0,615014496296.0,-549104377678.01715,-117569103.740755,3686902.0,15443812.2,80067.732,-21.5,-158.0,-21.42,-157.833333,-21.58,-158.166667,987701.9999999999,1947.4,235.3
0,0.0,0.0,6399009.0,5.0,6399004.223903681,1354797.7986422544,1354799.0,1.0,4539.0117,-58.17,-156.166667,-58.17,-156.166667,-58.17,-156.166667,1.0,697.0,45.0
0,0.15384615384615385,0.15384615384615385,32155797785.0,687027078158.0,-654871280372.4188,-179181886.87335822,1066597.3846153845,14849819.461538462,104508.79840000003,-20.92,-156.416667,-20.75,-156.166667,-21.17,-156.916667,134497.0,1635.7692307692307,203.92307692307693
0,0.125,0.125,5492679867.0,307636497.0,5185043370.51754,3618398.7368686954,802902.375,350602.5,64717.9329,-20.0,-155.833333,-19.58,-155.71968085106383,-20.17,-156.0,31806.999999999996,1102.5,197.25
0,0.0,0.0,1633364577.0,1015.0,1633363561.3806567,4813856.511707538,1604620.0,1.0,24389.7415,-19.17,-155.75,-19.08,-155.71968085106383,-19.17,-155.833333,1027.0000000000002,1357.6666666666667,198.66666666666666
0,0.11764705882352941,0.11764705882352941,54422944914.0,59105029303.0,-4682084391.175063,26113859.824058615,1180527.9705882352,412473.35294117645,275405.6508,-19.75,-155.333333,-19.26071428571428,-155.0,-20.08,-155.76968085106384,113409.99999999999,2693.6470588235293,187.7941176470588
0,0.0,0.0,3729366523.0,3610.0,3729362912.4563,2465224.0308764353,1232613.0,1.0,16252.975699999999,-19.17,-155.583333,-19.17,-155.583333,-19.310714285714276,-155.76968085106384,584.9999999999998,1641.5,194.0
0,0.0,0.0,77850316.0,0.0,77850316.49275991,20317864.043513626,20317865.0,1.0,3682.1858,-64.67,-150.75,-64.67,-150.75,-64.67,-150.75,1.0,463.0,-7.0
0,0.0,0.0,65186695.0,0.0,65186695.19020845,16705529.353692627,16705530.0,1.0,3749.9207,-64.17,-150.75,-64.17,-150.75,-64.17,-150.75,1.0,515.0,5.0
0,0.0,0.0,304499512.0,110.0,304499402.04608023,11164060.78669795,2232813.2,1.0,21144.347999999998,-60.58,-151.083333,-60.40357142857143,-150.916667,-60.58,-151.25,14332.999999999996,576.0,46.4
0,0.0,0.0,123750758.0,43.0,123750713.16345498,12954744.685643222,2590950.0,1.0,21416.287,-60.17,-151.083333,-60.0,-150.833333,-60.25,-151.333333,300.99999999999994,663.0,44.6
0,0.0,0.0,68891086.0,0.0,68891085.686175,17761655.570214175,17761657.0,1.0,3727.3738,-64.33,-150.25,-64.26071428571427,-150.25,-64.33,-150.25,1.0,493.0,2.0
0,0.0,0.0,76485476.0,0.0,76485475.9153884,19426196.55317883,19426198.0,1.0,3783.6814,-63.92,-149.416667,-63.92,-149.33670212765958,-63.92,-149.416667,1.0,485.0,-7.0
0,0.0,0.0,11831746015.0,1715.0,11831744299.621183,117004707.31487852,4500182.038461538,1.0,105273.47529999999,-61.92,-149.833333,-61.68928571428571,-149.33670212765958,-62.33,-150.416667,6907.000000000004,607.8846153846154,33.46153846153846
0,0.0,0.0,13418693844.0,5831.0,13418688015.824749,78069023.51837273,2054448.9736842106,1.0,156683.13139999993,-61.42,-149.833333,-60.40357142857143,-149.33670212765958,-61.73928571428571,-150.25,302809.00000000006,536.5,48.10526315789474
0,0.0,0.0,521161885.0,38.0,521161847.5661786,41161969.23825492,13720657.666666666,1.0,10978.4883,-64.67,-148.166667,-64.58,-148.06010638297872,-65.25,-148.25,441.99999999999994,358.0,-1.6666666666666667
0,0.0,0.0,5590651139.0,867.0,5590650270.605484,191232756.55495372,6829742.214285715,1.0,113629.91369999998,-61.83,-148.916667,-61.68928571428571,-148.416667,-62.08,-149.3867021276596,4258.0,601.5,2.5357142857142856
0,0.0,0.0,18966609957.0,3471.0,18966606490.138905,339354298.76716524,7541207.622222222,1.0,184735.6281,-61.5,-149.0,-61.17,-148.25,-61.73928571428571,-149.3867021276596,43159.99999999999,662.0,17.0
0,0.0,0.0,12989416259.0,2022.0,12989414240.492645,467205053.76617616,10156632.652173912,1.0,168088.6823,-64.92,-147.333333,-64.42,-146.916667,-65.25,-148.11010638297873,80866.00000000001,381.0652173913044,-3.8260869565217392
0,0.0,0.0,57907322.0,8.0,57907313.83446877,7375729.044205933,7375730.0,1.0,3772.4358,-64.0,-147.75,-64.0,-147.75,-64.0,-147.75,1.0,361.0,-28.0
